parameter,value
base_pressure,252.46504198768613
dp_dt,2437.175768669879
dp_dn,8.563071585488585
uncertainty,284.3292805865425
percent_uncertainty,112.6212478163256
delta_t,0.05
delta_n,30
base_t,0.5
base_n,600
